# 游戏内置拼音输入法词典（由 tools/gen_pinyin_dict.py 从 Unicode Unihan 生成）
# 行格式：@<拼音>	<词>  或  $<拼音>	<字…>。拼音小写无声调，ü→v。
$bao	報报保包抱宝寶爆暴胞飽饱薄堡豹雹㿺䴐儤勹堢媬嫑孢寳忁怉枹煲珤窇笣緥苞菢葆蕔虣蚫袌褒褓襃賲趵鉋鑤靤飹駂骲髱鮑鲍鳵鴇鸨齙龅𦢊𨰦𨰻㙅㙸㫧㲒㵡㻄䈏䎂䤖䥤䨌䨔䪨䭋䳈䳰佨勽宲寚曓藵铇闁靌𠅬𠣒𠣺𠤏𠹕𡂟𡉩𡧖𡶄𢼌𣭀𤔣𤝧𤞥𤿈𥄹𥭓𦡕𧝘𧭤𧵢𨇅𨚔𨠖𩊅𩍂𩛞𩬽𩭼𩾡𩿓𪏶𬲺𱅀𲍹
$bei	被備备北背倍悲杯輩辈碑貝贝呗唄臂卑狈狽㛝㫲㻗偝孛悖惫憊揹桮梖棓椑焙牬犕珼琲盃碚禙糒蓓藣褙誖邶郥鄁鋇鐾钡鞁鞴骳鵯鹎𬇙㔨㗗㣁㤳㰆㶔㷶㸢㸬㸽㽡㾱䋳䔒䟺䡶䥯䩀䰽俻偹僃愂昁苝蛽軰鉳𠋭𠐡𠢥𡋭𢂏𢃍𢴾𢻵𣎵𣖾𣬍𣬪𤜲𤰈𤳦𤵛𤷁𤹲𤿒𤿾𥏓𥶓𦈧𦈶𦩖𦮷𦾙𧉥𧋲𧶙𧼠𩇩𩔹𩖠𩚾𪱷𫝦𫞥𬦥𰱯𱇑𱽎
$ben	本奔笨倴坋坌捹栟泍渀犇畚翉苯贲錛锛𦯀𩣺㡷㤓㨧㮥㮺䬱奙撪桳楍獖輽逩𣄏𣳰𣴞𥢊𨋒𩧼𪊜𪎝𪑖𬓱𰡞𱸛
$beng	甭蹦崩繃绷泵䭰伻傰嘣埄埲塴揼琣琫甏痭祊絣綳菶迸鏰镚閍鞛𩗴㑟㔙㷯䋽䑫䙀䨜䨻䩬䳞奟嵭逬𠜳𠡮𡎾𡡈𡶤𡾛𢆸𢉁𢐒𣂤𣨥𤙾𤡭𤫬𥀂𥖗𥛱𥞩𥦜𦂌𦅈𦝷𦺑𧑑𧚭𧩱𧻓𨆊𨓁𨕧𨸂𨹹𨻱𩂦𩊌𩑚𪔑𫄵𫗉𰬔𰬭𱤺
$bi	比必笔筆鼻避壁毕畢閉闭逼臂彼蔽币幣碧辟斃毙鄙痹痺㻫䠋佖俾偪匕吡咇哔嗶坒堛奰妣妼婢嬖嬶屄幤庇庳廦弊弻弼彃怭愊愎敝朼柀柲梐楅毖沘湢滗滭潷濞煏熚狴獘獙珌璧畀疕疪皕禆秕笓筚箄箅箆篦篳粃粊綼縪繴罼聛腷舭芘苾荜荸萆蓖蓽薜蜌袐裨襞襣觱詖诐豍貏賁贔赑跸蹕躄邲鄨鄪鉍鎞鏎铋閇閟陛鞸韠飶馝駜驆髀髲鮅鲾鵖鷝鷩鼊㓖㘠㘩㙄㠲㡀㡙㢰㢶㢸㧙㪏㪤㮿㯇㱸㳼㻶㿫䀣䁹䃾䄶䉾䊧䋔䎵䏢䏶䕗䖩䘡䚜䟆䟤䣥䧗䨆䩛䪐䫁䫾䬛䮠䮡䯗䵄佊啚夶怶枈榌毴畁睤萞螕襅貱躃鐴饆魓鰏𠈺𠋯𠐌𠓷𠛡𠡂𠦈𠧅𠨘𠩿𠬈𠮃𠽩𡚁𡛗𡠚𡳄𡻞𡽶𢁽𢅩𢐦𢖬𢘍𢟵𢡅𢩒𢲾𢳋𢴩𣁉𣁢𣋹𣔓𣘥𣚡𣝍𣢠𣥣𣦇𣦢𣩩𣭤𣮐𣯴𣴨𤂀𤅹𤐙𤗚𤙞𤜻𤝸𤠺𤡝𤢣𤵘𤹝𤹦𤻖𤽊𥆯𥈗𥏠𥛘𥟗𥢦𥳆𥴬𥷑𦂖𦑞𦔆𦠞𦤫𦯛𦰙𦱔𦸣𧏻𧒀𧓄𧤃𧥑𧫤𧲜𧳠𨅗𨋥𨋩𨐨𨚍𨚓𨟵𨠔𨲋𨵰𨸼𨻼𩉫𩊰𩑻𩧿𩪖𩪧𩭧𩲢𩾳𪋜𪌄𪍪𪏺𪐄𪼋𫄞𫎳𫔇𫖒𫗣𫚑𫜁𫠈𫼫𫽳𬙝𬠃𬥶𬭽𬳃𮤲𮩛𮲰𰃻𰋾𰛡𰞲𰬎𰬤𰻳𱁴𱂅𱅈𱉝𱌉
$bian	边邊变變便遍編编辩辯扁辫辮辨鞭匾蝙卞変峅弁徧忭惼抃揙昪汳汴煸猵獱甂砭碥稨窆笾箯籩緶缏艑苄萹褊貶贬辧辺邉釆鍽閞鯿鳊鴘𨚕㝸㣐㦚㭓㲢㳎㳒㴜㵷㺹䁵䉸䒪䛒䟍䡢䪻炞牑玣糄藊覍辡鯾𠐈𠑟𠓫𠪂𠭹𠯴𠷖𡈯𡬯𡬲𡬸𢩟𢭥𢴂𢻶𣈠𣝜𣩀𣪭𣸇𤀫𤀲𤄺𤺇𤻶𥍚𥣝𥣰𦇭𦉙𦟣𦽟𧩰𨖠𨖾𨧕𨩫𨳲𩩯𩰍𪉱𪏗𪓍𪖯𫔰𫚣𬸸𱉡𱖅
$biang	𰻝𰻞𱿗𲁓
$biao	表标標䮽俵儦墂婊幖彪摽杓檦淲滮瀌灬熛爂猋瘭穮脿膘臕蔈藨裱褾諘謤贆錶鏢鑣镖镳颩颮颷飆飇飈飊飑飙飚驃驫骉骠髟鰾鳔麃㟽㠒㧼㯹㶾䁃䁭䅺䔸䙳䞄磦𠔂𠚠𠬪𢅚𢒯𢿏𣄠𤂆𤆀𤐫𥘤𥲦𦔗𦔩𦠎𦾑𧝪𧥍𧳀𧴎𧴕𨭚𩙪𩪊𩴩𩽁𬭺𬴍𮸼𰷫𰾍𱃔𱃠
$bie	別别憋瘪癟㿜䏟彆徶癿虌蛂蟞襒蹩鱉鳖鼈㔡㢼䇷䋢䌘䘷䠥䭱䳤莂龞𠍯𡐞𡘴𡙀𡙪𡷘𢆣𢐳𢛎𢠳𣇢𣊶𤉤𤷗𤺓𤾵𥞲𥡁𧆊𧌽𧝬𧧸𧿥𨂅𨒜𩓝𩠻𩡟𩦉𩵛𩸁𪂟𪐆𫛮𰵬𱌇𱍈
$bin	滨濱宾賓㻞傧儐彬摈擯斌梹椕槟檳殡殯汃濒瀕玢璸砏繽缤膑臏虨豩豳賔邠鑌镔霦髌髕鬂鬓鬢㟗㯽䐔䚔䧬䨈氞濵瑸顮髩𠴇𡦆𡦻𡧼𢲰𣉮𣢏𣰨𥃰𧷟𧸈𨐰𨽗𩆱𩴱𪇕𬇄𱂸
